CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11220,310,AW00011220,NULL,Erica,C,Huang,0,1961-02-19,M,NULL,F,erica5@adventure-works.com,60000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,9142 All Ways Drive,NULL,618-555-0157,2013-03-14,10+ Miles
11221,334,AW00011221,NULL,Nathan,NULL,Perry,0,1955-12-08,M,NULL,M,nathan3@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,9714 Nicholas Drive,NULL,271-555-0191,2013-04-07,1-2 Miles
11222,369,AW00011222,NULL,Alexandra,NULL,Rivera,0,1956-02-14,M,NULL,F,alexandra11@adventure-works.com,80000.00,3,1,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,4999 Corte Segunda,NULL,488-555-0143,2013-11-01,1-2 Miles
11223,52,AW00011223,NULL,Hailey,I,Patterson,0,1957-03-15,S,NULL,F,hailey30@adventure-works.com,70000.00,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,5045 Vancouver Way,# 133,480-555-0126,2013-01-29,2-5 Miles
11224,612,AW00011224,NULL,Tiffany,J,Li,0,1957-03-05,S,NULL,F,tiffany3@adventure-works.com,70000.00,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,6404 Del Mar Ave,NULL,197-555-0118,2011-08-07,10+ Miles
11225,635,AW00011225,NULL,Madison,D,Lee,0,1962-02-12,M,NULL,F,madison22@adventure-works.com,60000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5927 Seaview Avenue,NULL,471-555-0142,2013-06-22,10+ Miles
11226,552,AW00011226,NULL,Sydney,T,Ross,0,1962-09-23,M,NULL,F,sydney26@adventure-works.com,60000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5252 Santa Fe,NULL,219-555-0146,2013-02-21,2-5 Miles
11227,310,AW00011227,NULL,Marshall,D,Chavez,0,1962-08-08,S,NULL,M,marshall35@adventure-works.com,60000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,9022 Estudillo Street,NULL,712-555-0116,2011-08-03,10+ Miles
11228,316,AW00011228,NULL,Ashley,R,Jones,0,1956-10-16,M,NULL,F,ashley3@adventure-works.com,60000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,7681 Willow Pass Road,NULL,996-555-0169,2013-10-25,10+ Miles
11229,355,AW00011229,NULL,Adrian,C,Stewart,0,1957-06-01,S,NULL,M,adrian21@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,6898 Shaw Rd.,NULL,812-555-0122,2013-07-27,10+ Miles
11230,369,AW00011230,NULL,Amber,NULL,Turner,0,1956-09-30,M,NULL,F,amber4@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,2,6345 Ridge Circle,NULL,155-555-0131,2013-07-16,2-5 Miles
11231,611,AW00011231,NULL,Dennis,NULL,Zhang,0,1963-11-11,M,NULL,M,dennis1@adventure-works.com,60000.00,2,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,3951 Calle Verde Drive,NULL,710-555-0134,2013-02-10,10+ Miles
11232,616,AW00011232,NULL,Hailey,R,Bryant,0,1958-03-27,M,NULL,F,hailey38@adventure-works.com,60000.00,3,1,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,2828 Rogers Ave.,NULL,156-555-0195,2013-09-20,2-5 Miles
11233,299,AW00011233,NULL,Todd,NULL,Li,0,1963-09-06,M,NULL,M,todd5@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,5897 Scottsdale Rd.,NULL,680-555-0147,2013-02-08,10+ Miles
11234,337,AW00011234,NULL,Anna,NULL,Griffin,0,1958-05-19,S,NULL,F,anna46@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,7221 Peachwillow Street,NULL,965-555-0146,2013-02-08,10+ Miles
11235,607,AW00011235,NULL,Angel,J,Stewart,0,1957-08-07,M,NULL,M,angel24@adventure-works.com,70000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,2585 La Salle Ct.,NULL,540-555-0122,2013-07-04,10+ Miles
11236,609,AW00011236,NULL,Jeremy,NULL,Butler,0,1957-09-02,S,NULL,M,jeremy29@adventure-works.com,70000.00,5,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,8811 The Trees Dr.,NULL,980-555-0117,2013-10-03,10+ Miles
11237,161,AW00011237,NULL,Clarence,M,Anand,0,1964-03-22,S,NULL,M,clarence36@adventure-works.com,130000.00,2,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,4,Welt Platz 6,NULL,1 (11) 500 555-0191,2011-09-05,0-1 Miles
11238,232,AW00011238,NULL,Mayra,NULL,Prasad,0,1964-02-07,S,NULL,F,mayra9@adventure-works.com,130000.00,2,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,4,1119 Elderwood Dr.,#3,1 (11) 500 555-0116,2011-01-06,0-1 Miles
11239,249,AW00011239,NULL,Latoya,C,Goel,0,1969-10-02,M,NULL,F,latoya18@adventure-works.com,130000.00,2,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,2,8154 Pheasant Circle,NULL,1 (11) 500 555-0149,2011-01-19,5-10 Miles
11240,273,AW00011240,NULL,Anne,B,Hernandez,0,1964-06-09,M,NULL,F,anne4@adventure-works.com,160000.00,2,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,76 Woodcrest Dr.,NULL,1 (11) 500 555-0119,2011-02-27,5-10 Miles
11241,211,AW00011241,NULL,Lisa,NULL,Cai,0,1974-04-06,S,NULL,F,lisa24@adventure-works.com,100000.00,2,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,"102, rue de Berri",NULL,1 (11) 500 555-0125,2012-09-10,5-10 Miles
11242,209,AW00011242,NULL,Larry,NULL,Munoz,0,1963-05-11,M,NULL,M,larry9@adventure-works.com,110000.00,2,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,3,Midi-Couleurs,NULL,1 (11) 500 555-0193,2012-09-19,5-10 Miles
11243,237,AW00011243,NULL,Robin,V,Alvarez,0,1963-04-08,M,NULL,F,robin2@adventure-works.com,150000.00,2,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,3,4086 Emmons Canyon Lane,NULL,1 (11) 500 555-0198,2011-02-21,0-1 Miles
11244,267,AW00011244,NULL,Alexis,M,Coleman,0,1968-11-22,S,NULL,F,alexis28@adventure-works.com,170000.00,2,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,7140 Camelback Road,NULL,1 (11) 500 555-0115,2011-02-12,0-1 Miles
11245,132,AW00011245,NULL,Ricky,D,Vazquez,0,1962-04-26,M,NULL,M,ricky15@adventure-works.com,120000.00,3,4,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,4,Roßstr 9928,NULL,1 (11) 500 555-0147,2011-09-26,5-10 Miles
11246,147,AW00011246,NULL,Latasha,NULL,Rubio,0,1962-04-08,M,NULL,F,latasha21@adventure-works.com,120000.00,3,4,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,4,Alderstr 7690,NULL,1 (11) 500 555-0178,2011-10-03,5-10 Miles
11247,242,AW00011247,NULL,Claudia,M,Zhou,0,1961-12-04,S,NULL,F,claudia7@adventure-works.com,130000.00,3,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,3,6516 Beauer Lane,NULL,1 (11) 500 555-0116,2011-02-18,0-1 Miles
11248,223,AW00011248,NULL,Tristan,P,Alexander,0,1966-03-22,M,NULL,M,tristan19@adventure-works.com,110000.00,3,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,"88, avenue des Champs-Elysées",NULL,1 (11) 500 555-0124,2013-07-14,10+ Miles
11249,178,AW00011249,NULL,Cindy,A,Patel,0,1966-07-09,M,NULL,F,cindy3@adventure-works.com,130000.00,3,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,3,Essener Straße 123,NULL,1 (11) 500 555-0149,2011-10-09,0-1 Miles
11250,276,AW00011250,NULL,Shannon,D,Liu,0,1966-03-08,M,NULL,F,shannon4@adventure-works.com,170000.00,3,4,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,4185 Keywood Ct.,NULL,1 (11) 500 555-0119,2011-03-17,5-10 Miles
11251,50,AW00011251,NULL,Xavier,NULL,Long,0,1938-01-01,S,NULL,M,xavier51@adventure-works.com,30000.00,4,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,9245 Dantley Way,NULL,243-555-0114,2013-10-18,5-10 Miles
11252,335,AW00011252,NULL,Nicholas,D,Thompson,0,1937-12-05,S,NULL,M,nicholas16@adventure-works.com,90000.00,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,1,504 O St.,NULL,377-555-0147,2011-08-14,2-5 Miles
11253,69,AW00011253,NULL,José,M,Hernandez,0,1949-08-24,M,NULL,M,josé54@adventure-works.com,60000.00,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,5703 Donald Dr.,NULL,712-555-0130,2013-03-01,1-2 Miles
11254,612,AW00011254,NULL,Johnathan,W,Vance,0,1938-08-31,M,NULL,M,johnathan5@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,9430 Versailles Pl,NULL,494-555-0166,2013-11-23,5-10 Miles
11255,612,AW00011255,NULL,Colin,NULL,Lin,0,1938-10-02,M,NULL,M,colin8@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,6083 San Jose,NULL,599-555-0132,2013-02-23,5-10 Miles
11256,626,AW00011256,NULL,Katelyn,L,Hernandez,0,1939-03-20,M,NULL,F,katelyn42@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,7496 Deerfield Dr.,NULL,249-555-0116,2013-04-15,5-10 Miles
11257,345,AW00011257,NULL,Jacqueline,NULL,Powell,0,1938-07-06,S,NULL,F,jacqueline9@adventure-works.com,120000.00,1,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,4,4076 Northwood Dr,NULL,796-555-0111,2011-08-24,2-5 Miles
11258,352,AW00011258,NULL,Xavier,NULL,Hill,0,1938-12-26,M,NULL,M,xavier26@adventure-works.com,120000.00,1,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,4,2707 Virgil Street,NULL,559-555-0149,2013-05-21,2-5 Miles
11259,548,AW00011259,NULL,Victoria,C,Stewart,0,1970-09-24,M,NULL,F,victoria24@adventure-works.com,100000.00,4,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,3623 Barquentine Court,NULL,230-555-0139,2011-09-04,2-5 Miles
11260,302,AW00011260,NULL,Katelyn,L,Kelly,0,1976-04-08,M,NULL,F,katelyn1@adventure-works.com,110000.00,2,2,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7085 Solano Drive,NULL,507-555-0132,2013-02-05,2-5 Miles
11261,359,AW00011261,NULL,Stephanie,NULL,Collins,0,1970-10-22,M,NULL,F,stephanie52@adventure-works.com,130000.00,1,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,1,2868 Central Avenue,NULL,209-555-0173,2011-09-27,0-1 Miles
11262,60,AW00011262,NULL,Jennifer,NULL,Simmons,0,1975-05-01,M,NULL,F,jennifer88@adventure-works.com,80000.00,4,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,0,7959 Mt. Wilson Way,NULL,148-555-0115,2013-02-27,0-1 Miles
11263,612,AW00011263,NULL,Trinity,NULL,Richardson,0,1970-03-11,M,NULL,F,trinity9@adventure-works.com,90000.00,5,5,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,3,3063 Blue Jay Drive,NULL,111-555-0116,2011-08-29,2-5 Miles
11264,618,AW00011264,NULL,Eduardo,NULL,Martin,0,1969-12-15,S,NULL,M,eduardo13@adventure-works.com,90000.00,5,5,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,3,5137 Pheasant Court,NULL,342-555-0195,2013-01-02,0-1 Miles
11265,623,AW00011265,NULL,Elizabeth,P,Jones,0,1970-01-10,M,NULL,F,elizabeth7@adventure-works.com,90000.00,5,5,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,3,2253 Firestone Dr.,NULL,941-555-0110,2013-01-03,0-1 Miles
11266,632,AW00011266,NULL,Taylor,NULL,Howard,0,1969-11-02,S,NULL,F,taylor14@adventure-works.com,90000.00,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,1,7396 Stratton Circle,NULL,162-555-0131,2011-09-10,5-10 Miles
11267,302,AW00011267,NULL,David,NULL,Diaz,0,1975-09-29,S,NULL,M,david55@adventure-works.com,120000.00,4,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,2075 Browse Ct,NULL,613-555-0119,2011-09-17,2-5 Miles
11268,312,AW00011268,NULL,Katelyn,A,Carter,0,1969-10-31,M,NULL,F,katelyn33@adventure-works.com,130000.00,2,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,3050 Monte Cresta Avenue,NULL,103-555-0195,2013-05-29,1-2 Miles
11269,314,AW00011269,NULL,Ryan,W,Foster,0,1975-10-10,M,NULL,M,ryan19@adventure-works.com,130000.00,2,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,5376 Sahara Drive,NULL,961-555-0133,2013-08-22,0-1 Miles
11270,334,AW00011270,NULL,Robert,L,Lee,0,1975-05-01,M,NULL,M,robert82@adventure-works.com,130000.00,2,2,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,3,5461 Camino Verde Ct.,NULL,447-555-0174,2011-09-10,0-1 Miles
11271,360,AW00011271,NULL,Danielle,C,Reed,0,1969-12-03,S,NULL,F,danielle23@adventure-works.com,150000.00,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,4,6683 Carrick Ct,NULL,136-555-0114,2011-09-27,1-2 Miles
11272,300,AW00011272,NULL,Lauren,L,Martinez,0,1962-05-10,S,NULL,F,lauren35@adventure-works.com,70000.00,4,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,4357 Tosca Way,NULL,977-555-0117,2011-09-19,5-10 Miles
11273,331,AW00011273,NULL,Nathan,E,Lal,0,1962-03-31,M,NULL,M,nathan26@adventure-works.com,90000.00,2,1,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,7064 Cypress Ave,NULL,147-555-0121,2013-05-14,10+ Miles
11274,609,AW00011274,NULL,Kyle,M,Foster,0,1939-10-10,M,NULL,M,kyle11@adventure-works.com,50000.00,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,5617 Landing Dr,NULL,846-555-0126,2011-08-29,5-10 Miles
11275,310,AW00011275,NULL,Jenny,D,Rai,0,1939-07-18,M,NULL,F,jenny40@adventure-works.com,80000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,1440 Willow Pass Dr.,NULL,780-555-0119,2011-08-30,0-1 Miles
11276,49,AW00011276,NULL,Nancy,E,Chapman,0,1974-09-15,M,NULL,F,nancy7@adventure-works.com,80000.00,4,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,1480 Shoenic,NULL,909-555-0129,2013-01-29,2-5 Miles
11277,62,AW00011277,NULL,Charles,P,Jackson,0,1968-12-07,M,NULL,M,charles15@adventure-works.com,80000.00,4,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,2,3400 Folson Drive,NULL,194-555-0175,2013-02-02,0-1 Miles
11278,614,AW00011278,NULL,Jonathan,NULL,Phillips,0,1969-02-16,S,NULL,M,jonathan35@adventure-works.com,90000.00,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,1,8772 Rock Creek Way,NULL,967-555-0176,2011-09-16,10+ Miles
11279,616,AW00011279,NULL,Amanda,S,Cook,0,1974-09-08,M,NULL,F,amanda3@adventure-works.com,90000.00,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,9187 Vista Del Sol,NULL,252-555-0177,2013-03-03,10+ Miles
11280,626,AW00011280,NULL,Robert,NULL,Collins,0,1969-02-17,M,NULL,M,robert45@adventure-works.com,90000.00,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,1,5271 Sierra Road,NULL,966-555-0171,2013-07-01,10+ Miles
11281,301,AW00011281,NULL,Megan,J,Barnes,0,1974-10-06,S,NULL,F,megan53@adventure-works.com,110000.00,4,2,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,4,40 Ellis St.,NULL,807-555-0156,2011-09-13,5-10 Miles
11282,612,AW00011282,NULL,Christian,A,Thomas,0,1967-07-16,M,NULL,M,christian46@adventure-works.com,90000.00,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,5205 Coralie Drive,NULL,692-555-0172,2011-08-31,1-2 Miles
11283,299,AW00011283,NULL,Arturo,NULL,Lal,0,1968-04-24,M,NULL,M,arturo33@adventure-works.com,110000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4593 Mendouno Dr.,NULL,638-555-0164,2013-05-29,1-2 Miles
11284,307,AW00011284,NULL,Theresa,NULL,Serrano,0,1967-09-24,M,NULL,F,theresa12@adventure-works.com,110000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,9007 S Royal Links Circle,NULL,777-555-0162,2013-02-06,1-2 Miles
11285,322,AW00011285,NULL,Jeremy,J,Anderson,0,1973-03-15,M,NULL,M,jeremy2@adventure-works.com,120000.00,1,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,4,7655 Greer Ave,NULL,940-555-0176,2013-07-27,2-5 Miles
11286,374,AW00011286,NULL,Hunter,D,Griffin,0,1967-08-31,M,NULL,M,hunter16@adventure-works.com,170000.00,0,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,4,4079 Redbird Lane,NULL,410-555-0148,2011-09-21,2-5 Miles
11287,49,AW00011287,NULL,Henry,B,Garcia,0,1966-07-16,M,NULL,M,henry16@adventure-works.com,70000.00,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,3,3268 Hazelwood Lane,NULL,282-555-0185,2013-01-29,5-10 Miles
11288,301,AW00011288,NULL,Cindy,K,Sanchez,0,1978-03-12,M,NULL,F,cindy19@adventure-works.com,110000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7062 Starflower Drive,NULL,198-555-0118,2013-03-05,2-5 Miles
11289,315,AW00011289,NULL,Maria,S,Carter,0,1972-03-03,M,NULL,F,maria53@adventure-works.com,130000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,1,8603 Elmhurst Lane,NULL,239-555-0158,2011-09-08,0-1 Miles
11290,334,AW00011290,NULL,Katelyn,NULL,Sanchez,0,1972-08-14,M,NULL,F,katelyn26@adventure-works.com,130000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,8869 Climbing Vine Court,NULL,395-555-0150,2011-09-20,2-5 Miles
11291,335,AW00011291,NULL,Jenna,NULL,Wright,0,1972-05-01,M,NULL,F,jenna19@adventure-works.com,130000.00,1,3,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,232 Pinnacle Drive,NULL,118-555-0191,2011-09-04,2-5 Miles
11292,361,AW00011292,NULL,Seth,NULL,Phillips,0,1967-05-05,S,NULL,M,seth42@adventure-works.com,150000.00,1,2,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,3,4361 Loftus Road,NULL,980-555-0196,2011-09-15,0-1 Miles
11293,632,AW00011293,NULL,Luke,S,Long,0,1960-11-23,S,NULL,M,luke28@adventure-works.com,60000.00,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,3177 Dover Way,NULL,786-555-0117,2013-02-24,1-2 Miles
11294,618,AW00011294,NULL,Dalton,P,Clark,0,1961-03-02,M,NULL,M,dalton18@adventure-works.com,60000.00,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,4381 Amazonas,NULL,388-555-0195,2013-09-25,1-2 Miles
11295,311,AW00011295,NULL,Taylor,G,Lewis,0,1959-11-13,S,NULL,F,taylor67@adventure-works.com,80000.00,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,8827 Ward Court,NULL,291-555-0174,2011-09-25,5-10 Miles
11296,616,AW00011296,NULL,Haley,NULL,Richardson,0,1941-04-05,S,NULL,F,haley10@adventure-works.com,50000.00,2,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,6203 Laurel Drive,NULL,620-555-0129,2011-09-01,5-10 Miles
11297,301,AW00011297,NULL,Noah,NULL,Coleman,0,1940-08-01,S,NULL,M,noah2@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,5562 Galindo Street,NULL,847-555-0167,2011-09-26,5-10 Miles
11298,307,AW00011298,NULL,Jon,NULL,Luo,0,1940-08-30,M,NULL,M,jon46@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,3560 River Rock Lane,NULL,127-555-0189,2011-09-12,1-2 Miles
11299,301,AW00011299,NULL,Orlando,E,Vazquez,0,1941-09-29,M,NULL,M,orlando14@adventure-works.com,70000.00,4,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,8547 Catherine Way,NULL,757-555-0143,2011-09-26,1-2 Miles
11300,54,AW00011300,NULL,Fernando,NULL,Barnes,0,1965-08-31,M,NULL,M,fernando47@adventure-works.com,80000.00,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,3,7633 Greenhills Circle,NULL,469-555-0125,2013-01-31,1-2 Miles
11301,607,AW00011301,NULL,Cameron,L,Rodriguez,0,1965-12-07,M,NULL,M,cameron38@adventure-works.com,80000.00,5,4,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,4,1217 Mariposa,NULL,727-555-0119,2013-06-09,5-10 Miles
11302,539,AW00011302,NULL,Spencer,NULL,Russell,0,1971-12-09,S,NULL,M,spencer22@adventure-works.com,90000.00,4,3,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,3,2396 Mink Court,NULL,834-555-0131,2011-09-06,1-2 Miles
11303,614,AW00011303,NULL,Julia,NULL,Coleman,0,1966-04-10,S,NULL,F,julia72@adventure-works.com,90000.00,4,3,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,3,3128 Ramsey Circle,NULL,907-555-0170,2011-09-02,1-2 Miles
11304,547,AW00011304,NULL,Julia,B,Garcia,0,1971-03-14,M,NULL,F,julia38@adventure-works.com,100000.00,0,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,1,0,6179 Mt. Hamilton Dr.,NULL,923-555-0183,2013-03-20,5-10 Miles
11305,307,AW00011305,NULL,Sean,A,Evans,0,1965-12-17,M,NULL,M,sean31@adventure-works.com,110000.00,3,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,4,7118 Elliott Dr.,NULL,791-555-0174,2013-03-25,2-5 Miles
11306,312,AW00011306,NULL,Micah,A,Zhou,0,1965-12-20,M,NULL,M,micah19@adventure-works.com,110000.00,3,3,Partial College,Estudios universitarios (en curso),Baccalauréat,Professional,Profesional,Cadre,0,4,6105 Brownstone Rd,NULL,497-555-0185,2013-06-30,2-5 Miles
11307,314,AW00011307,NULL,Hunter,P,Rodriguez,0,1965-10-31,M,NULL,M,hunter53@adventure-works.com,80000.00,2,0,Partial High School,Educación secundaria (en curso),Niveau bac,Skilled Manual,Obrero especializado,Technicien,1,2,4343 Cook Street,NULL,996-555-0142,2011-09-04,5-10 Miles
11308,546,AW00011308,NULL,Ian,T,Gonzales,0,1959-09-02,M,NULL,M,ian57@adventure-works.com,60000.00,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,0,2,7122 Athene Dr.,NULL,904-555-0153,2013-09-07,1-2 Miles
11309,536,AW00011309,NULL,Victoria,NULL,Lewis,0,1959-12-10,S,NULL,F,victoria20@adventure-works.com,60000.00,2,0,High School,Educación secundaria,Bac + 2,Professional,Profesional,Cadre,1,2,4426 Tanager Road,NULL,586-555-0191,2013-07-09,5-10 Miles
11310,360,AW00011310,NULL,Erin,A,Sanders,0,1964-07-05,S,NULL,F,erin7@adventure-works.com,70000.00,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,7541 Black Point Pl,NULL,233-555-0160,2013-08-12,5-10 Miles
11311,626,AW00011311,NULL,Gabrielle,D,Lopez,0,1959-02-21,S,NULL,F,gabrielle63@adventure-works.com,70000.00,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,0,2,8619 Parkside Dr.,NULL,783-555-0174,2013-04-18,1-2 Miles
11312,626,AW00011312,NULL,Sara,NULL,Richardson,0,1958-10-01,S,NULL,F,sara10@adventure-works.com,70000.00,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,7375 Kipling Court,NULL,296-555-0174,2013-05-17,5-10 Miles
11313,632,AW00011313,NULL,Trevor,NULL,Jenkins,0,1958-08-27,S,NULL,M,trevor6@adventure-works.com,70000.00,3,0,Graduate Degree,Estudios de postgrado,Bac + 3,Management,Gestión,Direction,1,2,4697 Yosemite Dr.,NULL,120-555-0129,2013-05-07,5-10 Miles
